atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,classe
0.9251161646709277,0.681305451692753,0.9097021874589264,0.7186510512763294,1.1990746016141236,1.2444102739247662,3
1.034144430666755,1.2440308444791466,0.9097021874589264,1.1001291824597685,0.031040703809491747,1.1271150212258774,4
0.7968346185814433,-0.8698693600183257,-0.6285690157963189,0.033265695274360116,0.5505557881004772,-0.48652691029004885,2
0.9062882761046932,0.7196979387377241,0.9097021874589264,1.0104472539164457,-0.6616764687420952,0.9311744139302822,4
0.8206618087104244,0.18052479884454808,0.6383478575663601,0.7755189495289684,1.4917749632310622,0.5973743420506086,1
-1.927019066994223,-2.0964374759391946,-2.6752222663151324,-2.35035717429683,-1.9179690261853577,-2.537640874626653,1
-1.9887814504799122,-1.7714531002420653,-1.6065656162506394,-1.3140165996163446,-0.5247834382869356,-1.618248259984578,1
1.1379952810846339,1.6324493564545985,0.9097021874589264,1.147516701727964,0.5486779513362906,1.2444102739247662,4
-1.3940033760041382,-1.5196357339238293,-1.5826550458428497,-0.049038118380242544,-0.36798770033352896,-1.7158024999778732,1
1.045501929244468,0.7007853019186062,0.9097021874589264,1.27442834837391,2.0148255899508505,0.2493561547135387,4
-0.5984423285017186,0.4357839983309579,0.42941245051176674,-0.5556965823909314,0.16873153203455796,0.1824061904435693,2
0.8981536675161444,1.146389850126724,0.9097021874589264,0.505396187692391,0.21759996652688274,1.2444102739247662,4
0.2490082853183384,-0.18025076230017767,0.07258269811729748,0.19446156321704225,-0.2651658154569421,-0.43699886881441197,4
0.8646262589324002,0.01518985906868071,0.37850521086671524,-0.3100030909809399,-0.6239446400353392,0.39469248104850985,3
1.0734033012788107,0.8427602361649491,0.9097021874589264,0.5994112253148985,0.06978353922774168,0.9058607598110839,4
1.0914299615893106,1.7114262849373374,0.9097021874589264,1.085437935244504,1.3339352058999334,1.2444102739247662,4
-1.4849140311235343,-1.2181078205091143,-0.8587504439517278,-2.2141301531246835,-1.0878501976702653,-0.3068570150449205,3
0.7661344662166168,0.8004397294811408,0.9097021874589264,0.28311342555523644,0.3974866081224903,0.0,4
-1.5756452812489685,-1.382419521285126,-1.2064740529391564,-2.064921333751493,-1.529660353246198,-0.8982961594661083,3
0.05466937302114124,-0.9516029917660326,-0.866720278959679,-1.7643152422913724,-1.4391867338382582,-0.5848571535670528,1
0.05145810466361678,0.28638892499586605,0.5879671887693713,-0.7385750580969445,0.43176486682751347,0.8930491565936269,2
-1.632738402482591,-1.0357829401648195,-1.0604570662960586,-0.2931021768130747,-0.8198418661749037,-1.60662015823734,3
1.13946012172924,1.03598725121076,0.9097021874589264,1.023031859115787,1.6769959807104218,1.2444102739247662,4
-1.9355400804056835,-1.4242560371382684,-1.7006561701263738,-1.9454822440847541,-1.6016905383256148,-1.690580701692291,1
0.7825751166359003,0.7880250591626591,0.8697993431454235,0.8379427437614634,0.45689406370066576,1.0016022685502706,4
-1.3771322007084021,-0.10521146406111254,0.2114386890531308,-0.5363420662434949,-0.2828980020914032,0.4138000471216843,1
-1.038864483480768,-1.3184026565791913,-1.3791775337551526,-1.1524037688391826,0.014075271476675645,-1.4329974072476073,3
-1.208050215391551,-0.5800763178192523,-0.7488486765728544,-1.026281153984782,-1.2034117320531679,-0.2843393355853931,4
-0.7333362566534226,-0.695711939290885,-0.6718113589642813,0.06965742334353842,-0.6543298459831168,-0.656235394997902,1
1.0241162995246254,1.4474149391327678,0.9097021874589264,0.6539677210138006,1.0643001506871228,1.1333196063679323,3
0.5180985778089384,0.6393257829296327,0.8759799720610025,0.4447970773283932,0.18172719601021314,0.5578091506551109,3
